time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Concurrent GC.count,Jvm:G1 Concurrent GC.time,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2024-09-23 09:53:48.585 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,425252696064,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1727085225062,,, , , , , , , , , ,3145728,1377,0,0,0,0, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,2105344,3,1389,5, , , , ,6,13, , ,18,129,57416936,4, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-09-23 09:53:49.014 UTC, , , , , , , , , ,125,3192549,46696, , ,4, ,126, , , , , , , , , ,4,4, , , , ,2,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,425252696064,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1727085225062,,, , , , , , , , , ,3145728,7045, , , , , , , , , ,2,26, ,3, , , , , , , , , , , ,8192,2,5645,26, , , , , , , , , , ,59514088,4, , , , , , ,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , ,36, , , , , , , , , , 
2024-09-23 09:53:49.763 UTC, , , , , , , , , ,125,2113597,16320, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,4, ,23,12, , , , , , , , , , , , , ,10461,2, ,7151, , , , , , ,-1,-1,-1,-1, , , , , ,2,106, , , , , , , , , , , , , , , , , , , , , , , , , , ,1727085229556,,, , , , , , , , , ,2097150,10461, , , , , , ,20, , ,2, , ,3, , ,20, ,2048,1, , , , , ,117430,33, , , , , , ,8,17,2,96,19,130,208157008,4, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-09-23 09:53:51.112 UTC, , , , , , , , , ,589,2192301,94560, , ,12, ,265, , , , , , , , , ,12,12, , , ,3,9,13, ,178,49, , , , , , , , , , , , , ,10461,2, ,7151, , , , ,10508,425252675584,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10508,1727085229556,,, , , , , , , , , ,2097150,21927,0,0,0,0, , ,51, , ,3, , ,3,8, ,51,1, , , , , , , ,13751,54,11500,31, , , , , , , , , , ,213399888,4, , , , , , ,442, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,27, , ,18,18,18, , , , , , , , , 
2024-09-23 09:54:24.600 UTC, , , , , , , , , ,125,3172005,26152, , ,4, ,39,4,0.10, , , , , , , ,4,4, ,2, ,3,2,5, ,36,21, , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425252593664,35,35,35,35, , , , , ,1,288, , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , ,31, , ,2, , ,3, , ,31, ,4096,1, , , , , ,21018196,42, , , , , , ,8,17, , ,18,103,120253768,4, , , , , , ,26, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-09-23 09:55:24.610 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,118,7,0.06, , , , , , , ,11,11, , , ,6,8,12, ,59,43, , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425252515840,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , ,57, , ,1, , ,3, , ,57,1, , , , , , , ,64477,58, , , , , , , , , , ,1,20,119250440,5, , , , , , ,122, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,41,15, , , , , , , , , , 
2024-09-23 09:56:24.622 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, , , , , , , , , , , ,11,11, , , ,6,8,12, , , , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425252515840,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,1,11,64305800,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-09-23 09:57:24.631 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425252503552,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,86325896,4, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
2024-09-23 09:58:24.639 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425252376576,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,109394568,4, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
2024-09-23 09:59:24.646 UTC, , , , , , , , , ,125,3214413,65760,2800, ,11, ,4, , , , , , , , , ,11,11, , , ,6,8,12, ,2, , , , , , , , , , , , , , ,24477,3, ,22087, , , , ,24524,425246158848,35,35,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24524,1727085261915,,, , , , , , , , , ,3145728,24477, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,132463240,3, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , 
